year,game_id,team,event_type,count
1933,ALS193307060,0,H,7
1933,ALS193307060,0,HR,1
1933,ALS193307060,0,SO,4
1933,ALS193307060,1,BB,6
1933,ALS193307060,1,H,8
1933,ALS193307060,1,HR,1
1933,ALS193307060,1,SO,4
1934,NLS193407100,0,BB,8
1934,NLS193407100,0,H,14
1934,NLS193407100,0,SO,12
1934,NLS193407100,1,BB,3
1934,NLS193407100,1,E,1
1934,NLS193407100,1,H,7
1934,NLS193407100,1,HR,2
1934,NLS193407100,1,SO,5
1935,ALS193507080,0,BB,2
1935,ALS193507080,0,H,5
1935,ALS193507080,0,SO,5
1935,ALS193507080,1,BB,3
1935,ALS193507080,1,H,7
1935,ALS193507080,1,HR,1
1935,ALS193507080,1,SO,9
1936,NLS193607070,0,BB,7
1936,NLS193607070,0,H,6
1936,NLS193607070,0,HR,1
1936,NLS193607070,0,SO,7
1936,NLS193607070,1,BB,3
1936,NLS193607070,1,H,8
1936,NLS193607070,1,HR,1
1936,NLS193607070,1,SO,6
1937,ALS193707070,0,E,2
1937,ALS193707070,0,H,13
1937,ALS193707070,1,BB,4
1937,ALS193707070,1,H,12
1937,ALS193707070,1,HR,1
1937,ALS193707070,1,SO,7
1938,NLS193807060,0,BB,2
1938,NLS193807060,0,H,8
1938,NLS193807060,0,SO,5
1938,NLS193807060,1,E,1
1938,NLS193807060,1,H,9
1938,NLS193807060,1,HBP,1
1938,NLS193807060,1,SO,7
1939,ALS193907110,0,BB,2
1939,ALS193907110,0,E,1
1939,ALS193907110,0,H,7
1939,ALS193907110,0,SO,9
1939,ALS193907110,1,BB,3
1939,ALS193907110,1,E,1
1939,ALS193907110,1,H,5
1939,ALS193907110,1,HR,1
1939,ALS193907110,1,SO,6
1940,NLS194007090,0,BB,2
1940,NLS194007090,0,H,3
1940,NLS194007090,0,SO,7
1940,NLS194007090,1,BB,3
1940,NLS194007090,1,H,6
1940,NLS194007090,1,HBP,1
1940,NLS194007090,1,HR,1
1940,NLS194007090,1,SO,6
1941,ALS194107080,0,BB,1
1941,ALS194107080,0,E,1
1941,ALS194107080,0,H,8
1941,ALS194107080,0,HR,2
1941,ALS194107080,0,RO,1
1941,ALS194107080,0,SO,7
1941,ALS194107080,1,BB,4
1941,ALS194107080,1,H,10
1941,ALS194107080,1,HR,1
1941,ALS194107080,1,SO,6
1942,NLS194207060,0,H,5
1942,NLS194207060,0,HR,2
1942,NLS194207060,0,SO,8
1942,NLS194207060,1,BB,2
1942,NLS194207060,1,H,5
1942,NLS194207060,1,HBP,1
1942,NLS194207060,1,HR,1
1942,NLS194207060,1,SO,3
1943,ALS194307130,0,BB,1
1943,ALS194307130,0,E,1
1943,ALS194307130,0,H,9
1943,ALS194307130,0,HR,1
1943,ALS194307130,0,SO,3
1943,ALS194307130,1,BB,3
1943,ALS194307130,1,E,1
1943,ALS194307130,1,H,7
1943,ALS194307130,1,HBP,1
1943,ALS194307130,1,HR,1
1943,ALS194307130,1,RO,1
1943,ALS194307130,1,SO,10
1944,NLS194407110,0,BB,1
1944,NLS194407110,0,H,6
1944,NLS194407110,0,RO,1
1944,NLS194407110,0,SO,5
1944,NLS194407110,1,BB,5
1944,NLS194407110,1,E,1
1944,NLS194407110,1,H,12
1944,NLS194407110,1,SO,4
1946,ALS194607090,0,BB,1
1946,ALS194607090,0,E,1
1946,ALS194607090,0,H,3
1946,ALS194607090,0,SO,10
1946,ALS194607090,1,BB,4
1946,ALS194607090,1,H,11
1946,ALS194607090,1,HR,3
1946,ALS194607090,1,SO,3
1947,NLS194707080,0,BB,2
1947,NLS194707080,0,H,9
