year,game_id,team,defense
1933,ALS193307060,0,ALS
1933,ALS193307060,1,NLS
1934,NLS193407100,0,NLS
1934,NLS193407100,1,ALS
1935,ALS193507080,0,ALS
1935,ALS193507080,1,NLS
1936,NLS193607070,0,NLS
1936,NLS193607070,1,ALS
1937,ALS193707070,0,ALS
1937,ALS193707070,1,NLS
1938,NLS193807060,0,NLS
1938,NLS193807060,1,ALS
1939,ALS193907110,0,ALS
1939,ALS193907110,1,NLS
1940,NLS194007090,0,NLS
1940,NLS194007090,1,ALS
1941,ALS194107080,0,ALS
1941,ALS194107080,1,NLS
1942,NLS194207060,0,NLS
1942,NLS194207060,1,ALS
1943,ALS194307130,0,ALS
1943,ALS194307130,1,NLS
1944,NLS194407110,0,NLS
1944,NLS194407110,1,ALS
1946,ALS194607090,0,ALS
1946,ALS194607090,1,NLS
1947,NLS194707080,0,NLS
1947,NLS194707080,1,ALS
1948,ALS194807130,0,ALS
1948,ALS194807130,1,NLS
1949,NLS194907120,0,NLS
1949,NLS194907120,1,ALS
1950,ALS195007110,0,ALS
1950,ALS195007110,1,NLS
1951,ALS195107100,0,ALS
1951,ALS195107100,1,NLS
1952,NLS195207080,0,NLS
1952,NLS195207080,1,ALS
1953,NLS195307140,0,NLS
1953,NLS195307140,1,ALS
1954,ALS195407130,0,ALS
1954,ALS195407130,1,NLS
1955,NLS195507120,0,NLS
1955,NLS195507120,1,ALS
1956,ALS195607100,0,ALS
1956,ALS195607100,1,NLS
1957,NLS195707090,0,NLS
1957,NLS195707090,1,ALS
1958,ALS195807080,0,ALS
1958,ALS195807080,1,NLS
1959,NLS195907070,0,NL1
1959,NLS195907070,1,AL1
1959,NLS195908030,0,NL2
1959,NLS195908030,1,AL2
1960,ALS196007110,0,AL1
1960,ALS196007110,1,NL1
1960,ALS196007130,0,AL2
1960,ALS196007130,1,NL2
1961,ALS196107310,0,AL2
1961,ALS196107310,1,NL2
1961,NLS196107110,0,NL1
1961,NLS196107110,1,AL1
1962,ALS196207100,0,AL1
1962,ALS196207100,1,NL1
1962,NLS196207300,0,NL2
1962,NLS196207300,1,AL2
1963,ALS196307090,0,ALS
1963,ALS196307090,1,NLS
1964,NLS196407070,0,NLS
1964,NLS196407070,1,ALS
1965,ALS196507130,0,ALS
1965,ALS196507130,1,NLS
1966,NLS196607120,0,NLS
1966,NLS196607120,1,ALS
1967,ALS196707110,0,ALS
1967,ALS196707110,1,NLS
1968,NLS196807090,0,NLS
1968,NLS196807090,1,ALS
1969,ALS196907230,0,ALS
1969,ALS196907230,1,NLS
1970,NLS197007140,0,NLS
1970,NLS197007140,1,ALS
1971,ALS197107130,0,ALS
1971,ALS197107130,1,NLS
1972,NLS197207250,0,NLS
1972,NLS197207250,1,ALS
1973,ALS197307240,0,ALS
1973,ALS197307240,1,NLS
1974,NLS197407230,0,NLS
1974,NLS197407230,1,ALS
1975,ALS197507150,0,ALS
1975,ALS197507150,1,NLS
1976,NLS197607130,0,NLS
1976,NLS197607130,1,ALS
1977,ALS197707190,0,ALS
1977,ALS197707190,1,NLS
1978,NLS197807110,0,NLS
1978,NLS197807110,1,ALS
1979,ALS197907170,0,ALS
1979,ALS197907170,1,NLS
1980,NLS198007080,0,NLS
1980,NLS198007080,1,ALS
1981,ALS198108090,0,ALS
1981,ALS198108090,1,NLS
1982,NLS198207130,0,NLS
1982,NLS198207130,1,ALS
1983,ALS198307060,0,ALS
1983,ALS198307060,1,NLS
1984,NLS198407100,0,NLS
1984,NLS198407100,1,ALS
1985,ALS198507160,0,ALS
1985,ALS198507160,1,NLS
1986,NLS198607150,0,NLS
1986,NLS198607150,1,ALS
1987,ALS198707140,0,ALS
1987,ALS198707140,1,NLS
1988,NLS198807120,0,NLS
1988,NLS198807120,1,ALS
1989,ALS198907110,0,ALS
1989,ALS198907110,1,NLS
1990,NLS199007100,0,NLS
1990,NLS199007100,1,ALS
1991,ALS199107090,0,ALS
1991,ALS199107090,1,NLS
1992,NLS199207140,0,NLS
1992,NLS199207140,1,ALS
1993,ALS199307130,0,ALS
1993,ALS199307130,1,NLS
1994,NLS199407120,0,NLS
1994,NLS199407120,1,ALS
1995,ALS199507110,0,ALS
1995,ALS199507110,1,NLS
1996,NLS199607090,0,NLS
1996,NLS199607090,1,ALS
1997,ALS199707080,0,ALS
1997,ALS199707080,1,NLS
1998,NLS199807070,0,NLS
1998,NLS199807070,1,ALS
1999,ALS199907130,0,ALS
1999,ALS199907130,1,NLS
2000,NLS200007110,0,NLS
2000,NLS200007110,1,ALS
2001,ALS200107100,0,ALS
2001,ALS200107100,1,NLS
2002,NLS200207090,0,NLS
2002,NLS200207090,1,ALS
2003,ALS200307150,0,ALS
2003,ALS200307150,1,NLS
2004,NLS200407130,0,NLS
2004,NLS200407130,1,ALS
2005,ALS200507120,0,ALS
2005,ALS200507120,1,NLS
2006,NLS200607110,0,NLS
2006,NLS200607110,1,ALS
2007,NLS200707100,0,NLS
2007,NLS200707100,1,ALS
2008,ALS200807150,0,ALS
2008,ALS200807150,1,NLS
2009,NLS200907140,0,NLS
2009,NLS200907140,1,ALS
2010,ALS201007130,0,ALS
2010,ALS201007130,1,NLS
2011,NLS201107120,0,NLS
2011,NLS201107120,1,ALS
2012,ALS201207100,0,ALS
2012,ALS201207100,1,NLS
2013,NLS201307160,0,NLS
2013,NLS201307160,1,ALS
2014,ALS201407150,0,ALS
2014,ALS201407150,1,NLS
2015,NLS201507140,0,NLS
2015,NLS201507140,1,ALS
2016,ALS201607120,0,ALS
2016,ALS201607120,1,NLS
2017,NLS201707110,0,NLS
2017,NLS201707110,1,ALS
2018,NLS201807170,0,NLS
2018,NLS201807170,1,ALS
